tier,case_id,topology,size_description,method,n_runs,n_ok,ok_rate,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,speedup_vs_exact_mean,speedup_vs_exact_std,t_contract_ratio_mean,t_contract_ratio_std,num_blocks_mean,num_blocks_std,refined_blocks_mean,refined_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,num_exact_leaves_mean,num_exact_leaves_std,num_compressed_leaves_mean,num_compressed_leaves_std,mean_leaf_residual_ratio_mean,mean_leaf_residual_ratio_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,cache_requests_mean,cache_requests_std,cache_hits_mean,cache_hits_std,cache_misses_mean,cache_misses_std,cache_hit_rate_mean,cache_hit_rate_std,num_cached_states_mean,num_cached_states_std
main,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L3,2,2,1.0,0.012977376042315674,0.0004595715552962598,4.886033910453573e-07,2.1092580223422355e-07,0.0001685178920757045,1.1928065848481429e-05,-37.73898631137096,0.30766022969445816,0.04651884999998401,0.0027374224822587904,9.9800000043615e-05,9.913637090615785e-05,0.04661865000002763,0.0028365588531649483,35.89408226986975,2.1222252760000684,0.9979200713536965,0.0019999835020635807,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,26.5,0.7071067811865476,36.5,0.7071067811865476,12.0,0.0,0.0,0.0,0.0,0.0,0.0014397972269646793,0.00024744800224713346,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.258300000000304,0.04531875644891654,5.90499996633298e-05,2.1213204185925574e-07,2.2583590499999673,0.045318968580958394,0.7388152921569103,0.006156420862188779,0.9999738483729192,4.308582925049107e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.7923165444452757,0.02151813027111807,3.02672521378587e-05,1.475982522930363e-05,0.6279970220187596,0.03409834105137804,-2.023627444621625,0.23592475285157197,0.01960349999990285,0.0005209962764777008,2.9500000323423592e-05,1.1313706219535843e-06,0.019633000000226275,0.0005198649058557472,84.01527507110967,2.1801647616814854,0.9984961375772602,9.744694741766338e-05,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,2,2,1.0,0.0059408539835445456,0.008401636275602302,2.68596804360215e-07,3.798532435358008e-07,7.058749214610502e-05,9.982578872692604e-05,-164.10794458835636,177.63303281925698,0.021221699999728116,0.004242216422774464,2.6549999915914668e-05,6.717513962174071e-06,0.02124824999964403,0.004248933936736638,41.84764548098177,9.534877887009026,0.9987572477279296,6.763576569244059e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,14.0,2.8284271247461903,20.0,1.4142135623730951,37.0,1.4142135623730951,12.0,0.0,0.0,0.0,0.0,0.0,0.00026647486942761773,0.0003768509260389537,123.0,0.0,54.0,0.0,69.0,0.0,0.43902439024390244,0.0,69.0,0.0
main,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8713438499999029,0.02292107844429445,4.3849999656231375e-05,2.8991376910398715e-06,0.8713876999995591,0.02292397758198549,1.0240807789251436,0.028532968289768673,0.9999497043254704,2.003885039519336e-06,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.6551078465201017,0.024490483113498766,4.9921987311510744e-05,2.9820562022289526e-05,0.4294661826177083,0.032087815223114644,-3.6767797885361673,0.3247880531105327,0.018067549999841503,0.0002564676292827471,2.939999978934793e-05,7.636753667710674e-06,0.01809694999963085,0.0002488308756150364,47.93102509544218,0.17510181289709847,0.9983723617844689,0.0004443710299130953,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,6.5,3.5355339059327378,16.5,6.363961030678928,40.5,6.363961030678928,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,54.0,0.0,69.0,0.0,0.43902439024390244,0.0,69.0,0.0
stress,stress_grid2d_3x4,grid2d,"grid_shape=[3,4], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,stress_random_10,random_connected,"num_nodes=10, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,stress_random_10,random_connected,"num_nodes=10, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",exact,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,stress_ring_10,ring,"num_nodes=10, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
