case_id,tier,topology,size_description,seed,method,method_key,planned_method_group,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.8792689999997947,4.549999994196696e-05,0.8793144999997367,1.004390010626672,0.9999482551454094,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__exact__s0\2026-04-10_20-46-46
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.8750994999998056,4.500000000007276e-05,0.8751444999998057,1.013789951258503,0.9999485799190876,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__exact__s1\2026-04-10_20-46-49
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,2.242990577851192e-15,2.268703235839821e-19,5.031006733557367e-30,-292.98345101409126,0.01306960000010804,2.9900000072302646e-05,0.013099500000180342,67.30504217112505,0.9977174700507951,9,0,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,0,36,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__fixed_rank__s0\2026-04-10_20-46-51
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,3.903948635811482e-15,1.1722310273368252e-19,1.5240814963587016e-29,-288.16991809589217,0.013076799999907962,3.040000001419685e-05,0.013107199999922159,67.73836516856107,0.9976806639852861,9,0,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,0,36,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__fixed_rank__s1\2026-04-10_20-46-53
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,2.393505278631536e-15,2.4209433709851784e-19,5.728867520235528e-30,-292.41931220671654,0.018396299999722032,3.209999999853608e-05,0.01842839999972057,48.19196457454671,0.9982581232772634,9,0,1.0,16,4,18,45,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,0,45,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__astnc_l2__s0\2026-04-10_20-46-55
main_chain_8,main,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,2.860386935716153e-15,8.588827950955896e-20,8.181813428743635e-30,-290.87150428014246,0.016718099999707192,3.0699999570060754e-05,0.016748799999277253,53.160680167222225,0.9981670328280503,9,0,1.0,16,4,18,45,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,0,45,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_chain_8__astnc_l2__s1\2026-04-10_20-46-57
main_ring_8,main,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l1"", ""astnc_l2"", ""astnc_l3""]",ok,runner,reused,,0.0,0.0,0.0,-inf,2.2262548000003335,5.889999965802417e-05,2.2263136999999915,0.7431685390964023,0.9999735437100988,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__exact__s0\2026-04-10_20-46-58
main_ring_8,main,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l1"", ""astnc_l2"", ""astnc_l3""]",ok,runner,reused,,0.0,0.0,0.0,-inf,2.2903452000002744,5.919999966863543e-05,2.290404399999943,0.7344620452174183,0.9999741530357396,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__exact__s1\2026-04-10_20-47-03
main_ring_8,main,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l1"", ""astnc_l2"", ""astnc_l3""]",ok,runner,reused,,0.8075321602784388,4.070402464662759e-05,0.6521081902034006,-1.8568034520305186,0.019235099999832528,3.0300000162242213e-05,0.01926539999999477,85.5568843581986,0.9984272321799352,9,0,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,27,9,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__fixed_rank__s0\2026-04-10_20-47-08
main_ring_8,main,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l1"", ""astnc_l2"", ""astnc_l3""]",ok,runner,reused,,0.7771009286121126,1.9830479629089817e-05,0.6038858538341185,-2.190451437212732,0.019971899999973175,2.870000048460497e-05,0.02000060000045778,82.47366578402074,0.9985650429745851,9,0,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,12,63,27,9,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__fixed_rank__s1\2026-04-10_20-47-11
