analysis,case_id,case,family,size_token,seed,method_key,method,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,exact_total_time_sec,speedup_vs_exact,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,leaf_tol,merge_tol,rank_policy,target_rank,max_rank,cache_enabled,block_enabled,block_labels,chunk_size,run_name,run_dir,error_message
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s4,pareto-s4,ok,0.004726863314362275,0.11947809999401215,4.390000685816631e-05,0.11952200000087032,2.110556200001156,17.65830725697469,0.9996327035369431,16.0,0.0,0.4444444444444444,75.0,0.00021826421503641171,0.0,0.002,0.01,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s4__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s4__s1\2026-04-14_17-47-12,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s4,pareto-s4,ok,0.013958895798410257,0.13450430001103086,7.390000610030256e-05,0.13457820001713117,2.7551900999860663,20.472781621502374,0.99945087683525,16.0,0.0,0.4444444444444444,75.0,0.0020658448796966153,0.0,0.002,0.01,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s4__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s4__s2\2026-04-14_17-47-15,
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s5,pareto-s5,ok,0.01265240987912524,0.1946291999956884,7.270000787684694e-05,0.19470190000356524,2.2120405999994546,11.36116596678095,0.9996266086315791,16.0,0.0,0.4444444444444444,75.0,0.0012648250665846673,0.0,0.003,0.015,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s5__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s5__s0\2026-04-14_17-47-19,
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s5,pareto-s5,ok,0.013302342205506107,0.10691640000004554,4.200000694254413e-05,0.10695840000698809,1.9343030000054569,18.0846291629362,0.999607323894716,16.0,0.0,0.4444444444444444,75.0,0.0016147693873446915,0.0,0.003,0.015,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s5__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s5__s1\2026-04-14_17-47-23,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s5,pareto-s5,ok,0.020647529700280706,0.11039779999555321,4.3399999412940815e-05,0.11044119999496615,2.0076646999950754,18.178584623024786,0.9996070307058006,16.0,0.0,0.4444444444444444,75.0,0.003066605336607722,0.0,0.003,0.015,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s5__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s5__s2\2026-04-14_17-47-25,
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s6,pareto-s6,ok,0.037685091518277515,0.1130265000028885,4.369999805931002e-05,0.11307020000094781,2.0404847000027075,18.046175738325015,0.9996135144444905,16.0,0.0,0.4444444444444444,75.0,0.0050545882709853275,0.0,0.005,0.025,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s6__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s6__s0\2026-04-14_17-47-28,
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s6,pareto-s6,ok,0.04576246136463927,0.10645499999736785,4.070000068168156e-05,0.10649569999804953,1.930145200003608,18.124160881808695,0.9996178249292502,16.0,0.0,0.4444444444444444,75.0,0.007837997379028598,0.0,0.005,0.025,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s6__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s6__s1\2026-04-14_17-47-31,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s6,pareto-s6,ok,0.04030094648799252,0.10637339999811957,4.260000059730373e-05,0.10641599999871687,1.9177486000007775,18.021243046213726,0.9995996842429952,16.0,0.0,0.4444444444444444,75.0,0.008027077306964288,0.0,0.005,0.025,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s6__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s6__s2\2026-04-14_17-47-34,
scale_trend,tree_10,Tree-10,tree,10,0,astnc_l2,ASTNC-L2,timeout,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_10__astnc_l2__s0,,subprocess timeout after 1200s
scale_trend,tree_10,Tree-10,tree,10,1,astnc_l2,ASTNC-L2,timeout,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_10__astnc_l2__s1,,subprocess timeout after 1200s
scale_trend,tree_10,Tree-10,tree,10,2,astnc_l2,ASTNC-L2,failed,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_10__astnc_l2__s2,,CalledProcessError: exit=1073807364
scale_trend,tree_10,Tree-10,tree,10,0,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_10__exact__s0,,CalledProcessError: exit=3221226091
scale_trend,tree_10,Tree-10,tree,10,1,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_10__exact__s1,,CalledProcessError: exit=3221226091
scale_trend,tree_10,Tree-10,tree,10,2,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_10__exact__s2,,CalledProcessError: exit=3221226091
scale_trend,tree_10,Tree-10,tree,10,0,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_10__fixed_rank__s0,,CalledProcessError: exit=3221226091
scale_trend,tree_10,Tree-10,tree,10,1,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_10__fixed_rank__s1,,CalledProcessError: exit=3221226091
